permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"RES-25-860","489A WORCESTER STREET, WELLESLEY, MA 02481","+251540-10","","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9343915343915343","","",""
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","+251754-08","","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9428571428571427","","",""
"RES-25-860","489A WORCESTER STREET, WELLESLEY, MA 02481","+251540-10","1400000","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9343915343915343","","",""
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","+251754-08","1300000","","365 WORCESTER STREET, WELLESLEY, MA 02481","","","","fuzzy","0.9428571428571427","","",""
"","38 Parker,","","","","38 PARKER ROAD","","","","fuzzy","0.95","","",""
"","15 Lafayette","","","73368427","15 Lafayette Cir 3 1","2025-04-30","2025-07-24","","fuzzy","0.92","","",""
"","345 Linden,","","","73074917","345 Linden 3 1","2023-01-30","2023-05-09","","fuzzy","0.9428571428571428","","",""
"","23 Wareland,","","","73389515","23 Wareland Rd 3 2","2025-06-10","2025-07-13","","fuzzy","0.9222222222222222","","",""
"","91 Prospect,","","","","91 PROSPECT STREET","","","","fuzzy","0.9571428571428571","","",""
"","23 Priscilla,","","","73307224","23 Priscilla Cir 3 2","2024-10-28","2025-05-01","","fuzzy","0.92","","",""
"","206 Bristol,","","","","206 BRISTOL ROAD","","","","fuzzy","0.9571428571428571","","",""
"","201 Lowell,","","","73102988","201 Lowell Road","2023-04-24","2023-08-08","","fuzzy","0.9538461538461538","","",""
"","38 Woodcliff,","","","","38 WOODCLIFF ROAD","","","","fuzzy","0.96","","",""
"","222 Grove,","","","","222 GROVE STREET","","","","fuzzy","0.95","","",""
"","40 Radcliffe,","","","73314492","40 Radcliffe 5 2","2024-11-19","2025-04-24","","fuzzy","0.95","","",""
"","52 Valley","","","73292242","52 Valley Rd","2024-09-18","2025-03-23","","fuzzy","0.95","","",""
"","184 Cliff Road 6 6","","","73353510","184 Cliff Road 6 6","2025-04-01","2025-09-29","","exact","1","","",""
"","15 Valley Road 6 8","","","73077635","15 Valley Road 6 8","2023-02-08","2023-05-14","","exact","1","","",""
"","121 Livingston Road 6 7","","","73295182","121 Livingston Road 6 7","2024-09-25","2025-01-08","","exact","1","","",""
"","42 Cranmore Road 6 6","","","73285093","42 Cranmore Road 6 6","2024-09-03","2025-01-14","","exact","1","","",""
"","15 Croton Street 5 6","","","73221156","15 Croton Street 5 6","2024-04-07","2024-05-29","","exact","1","","",""
"","55 Old Farm Road 6 8","","","73332851","55 Old Farm Road 6 8","2025-02-04","2025-05-28","","exact","1","","",""
"","108 Abbott Road 6 6","","","73435262","108 Abbott Road 6 6","2025-09-23","2025-11-11","","exact","1","","",""
"","9 Bellevue Road 6 6","","","73365607","9 Bellevue Road 6 6","2025-04-27","2025-08-21","","exact","1","","",""
"","15 Lathrop Rd 6 5","","","73382950","15 Lathrop Rd 6 5","2025-05-29","2025-06-29","","exact","1","","",""
"","1 Old Farm Rd 6 4","","","73371325","1 Old Farm Rd 6 4","2025-05-06","2025-08-03","","exact","1","","",""
"","115 Woodlawn Ave 5 5","","","73153553","115 Woodlawn Ave 5 5","2023-08-28","2023-12-17","","exact","1","","",""
"","7 Mountview Rd 6 5","","","73426351","7 Mountview Rd 6 5","2025-09-03","2025-12-10","","exact","1","","",""
"","89 Monadnock Road 6 6","","","73034524","89 Monadnock Road 6 6","2022-09-07","2023-09-07","","exact","1","","",""
"","11 Falmouth Rd 6 7","","","73365348","11 Falmouth Rd 6 7","2025-04-27","2025-08-17","","exact","1","","",""
"","55 Ridge Hill Farm Rd 5 5","","","73088905","55 Ridge Hill Farm Rd 5 5","2023-03-16","2023-06-25","","exact","1","","",""
"","31 Cranmore Road 6 5","","","73045783","31 Cranmore Road 6 5","2022-10-06","2023-08-20","","exact","1","","",""
"","149 Benvenue 5 6","","","73206848","149 Benvenue 5 6","2024-02-28","2024-08-07","","exact","1","","",""
"","236 Grove Street 6 7","","","73383236","236 Grove Street 6 7","2025-05-30","2025-08-14","","exact","1","","",""
"","120 Dover Road 6 6","","","73075343","120 Dover Road 6 6","2023-01-31","2023-06-12","","exact","1","","",""
"","26 Yarmouth Rd 6 6","","","72977903","26 Yarmouth Rd 6 6","2022-05-06","2024-01-01","","exact","1","","",""
"","37 Cypress Road 6 6","","","73126432","37 Cypress Road 6 6","2023-06-18","2024-04-10","","exact","1","","",""
"","39 Cypress Road 6 6","","","73082401","39 Cypress Road 6 6","2023-02-27","2023-10-26","","exact","1","","",""
"","78 Arnold Road 6 6","","","73131961","78 Arnold Road 6 6","2023-07-04","2023-08-31","","exact","1","","",""
"","15 Sumner Road 6 5","","","73351020","15 Sumner Road 6 5","2025-03-26","2025-08-10","","exact","1","","",""
"","123 Abbott Road 6 6","","","73204119","123 Abbott Road 6 6","2024-02-20","2024-06-16","","exact","1","","",""
"","182 Bristol Rd 7 6","","","73253479","182 Bristol Rd 7 6","2024-06-16","2024-11-07","","exact","1","","",""
"","18 Old Colony Rd 5 6","","","73215620","18 Old Colony Rd 5 6","2024-03-21","2025-06-10","","exact","1","","",""
"","165 Cliff Rd 6 5","","","73297001","165 Cliff Rd 6 5","2024-09-30","2025-01-14","","exact","1","","",""
"","38 Old Farm Rd 6 6","","","73286562","38 Old Farm Rd 6 6","2024-09-05","2024-10-22","","exact","1","","",""
"","80 Hundreds Road 6 7","","","73200930","80 Hundreds Road 6 7","2024-02-07","2024-05-22","","exact","1","","",""
"","11 Greylock Rd 4 5","","","73374644","11 Greylock Rd 4 5","2025-05-13","2025-06-23","","exact","1","","",""
"","60 Abbott Rd 6 5","","","73200340","60 Abbott Rd 6 5","2024-02-06","2024-06-02","","exact","1","","",""
"","51 Radcliffe Road 6 7","","","73306394","51 Radcliffe Road 6 7","2024-10-24","2025-05-29","","exact","1","","",""
"","36 Oakridge Rd 6 6","","","73340360","36 Oakridge Rd 6 6","2025-03-02","2025-12-03","","exact","1","","",""
"","56 Ledgeways 6 6","","","73445125","56 Ledgeways 6 6","2025-10-16","2025-11-30","","exact","1","","",""
"","6 Southgate Road 6 6","","","73425728","6 Southgate Road 6 6","2025-09-03","2025-10-29","","exact","1","","",""
"","15 Woodcliff Rd 6 6","","","73092766","15 Woodcliff Rd 6 6","2023-03-28","2023-05-29","","exact","1","","",""
"","17 Arden Rd 6 5","","","73069870","17 Arden Rd 6 5","2023-01-10","2023-04-26","","exact","1","","",""
"","18 Valley Road 4 3","","","73139408","18 Valley Road 4 3","2023-07-20","2024-04-15","","exact","1","","",""
"","26 White Oak Road 5 4","","","73425349","26 White Oak Road 5 4","2025-09-02","2025-10-13","","exact","1","","",""
"","30 Hobart Rd 7 6","","","73345670","30 Hobart Rd 7 6","2025-03-13","2025-11-11","","exact","1","","",""
"","77 Forest St 5 6","","","73198420","77 Forest St 5 6","2024-01-31","2024-06-10","","exact","1","","",""
"","22 Suffolk Rd 7 6","","","73123150","22 Suffolk Rd 7 6","2023-06-08","2023-12-18","","exact","1","","",""
"","76 Bristol Road 6 6","","","72973384","76 Bristol Road 6 6","2022-04-27","2023-06-29","","exact","1","","",""
"","117 Abbott Road 6 6","","","73073458","117 Abbott Road 6 6","2023-01-24","2023-04-12","","exact","1","","",""
"","15 Essex Rd 6 6","","","73425035","15 Essex Rd 6 6","2025-09-02","2025-12-10","","exact","1","","",""
"","22 Temple Road 5 5","","","73366917","22 Temple Road 5 5","2025-04-29","2025-07-13","","exact","1","","",""
"","55 Edmunds Rd 6 6","","","73102928","55 Edmunds Rd 6 6","2023-04-24","2023-07-31","","exact","1","","",""
"","5 Sabrina Rd 7 7","","","73342045","5 Sabrina Rd 7 7","2025-03-05","2025-05-15","","exact","1","","",""
"","85 Benvenue Street 6 6","","","73222141","85 Benvenue Street 6 6","2024-04-09","2024-06-25","","exact","1","","",""
