list_no,address_raw,address_norm,list_date,offer_date,settled_date,list_price,sale_price,sqft,year_built
"","1 EDGEWATER DRIVE","1 EDGEWATER DR","","","","","","",""
"","30 FALMOUTH ROAD","30 FALMOUTH RD","","","","","","",""
"","12 PATTON ROAD","12 PATTON RD","","","","","","",""
"","68 YARMOUTH ROAD","68 YARMOUTH RD","","","","","","",""
"","19 TURNER ROAD","19 TURNER RD","","","","","","",""
"","26 YARMOUTH ROAD","26 YARMOUTH RD","","","","","","",""
"","76 BRISTOL ROAD","76 BRISTOL RD","","","","","","",""
"","161 CEDAR STREET","161 CEDAR ST","","","","","","",""
"","78 ARNOLD ROAD","78 ARNOLD RD","","","","","","",""
"","57 SHERIDAN ROAD","57 SHERIDAN RD","","","","","","",""
"","130 GREAT PLAIN AVENUE","130 GREAT PLAIN AVE","","","","","","",""
"","32 BOULDER BROOK ROAD","32 BOULDER BROOK RD","","","","","","",""
"","148 WALNUT STREET","148 WALNUT ST","","","","","","",""
"","86 MAYO ROAD","86 MAYO RD","","","","","","",""
"","30 LANTERN LANE","30 LANTERN LN","","","","","","",""
"","50 WASHBURN AVENUE","50 WASHBURN AVE","","","","","","",""
"","10 PARK AVENUE","10 PARK AVE","","","","","","",""
"","15 MAYO ROAD","15 MAYO RD","","","","","","",""
"","21 RIVERDALE ROAD","21 RIVERDALE RD","","","","","","",""
"","28 RIVER GLEN ROAD","28 RIVER GLEN RD","","","","","","",""
"","64 HALSEY AVENUE","64 HALSEY AVE","","","","","","",""
"","55-57 FIELDSTONE WAY","55-57 FIELDSTONE WAY","","","","","","",""
"","43-45 FIELDSTONE WAY","43-45 FIELDSTONE WAY","","","","","","",""
"","47-49 FIELDSTONE WAY","47-49 FIELDSTONE WAY","","","","","","",""
"","51-53 FIELDSTONE WAY","51-53 FIELDSTONE WAY","","","","","","",""
"","22 PATTON ROAD","22 PATTON RD","","","","","","",""
"","31 ELM STREET","31 ELM ST","","","","","","",""
"","32 LANTERN LANE","32 LANTERN LN","","","","","","",""
"","76 FAIRBANKS AVENUE","76 FAIRBANKS AVE","","","","","","",""
"","146 LOWELL ROAD","146 LOWELL RD","","","","","","",""
"","27 WESTGATE","27 WESTGATE","","","","","","",""
"","9 FRANKLIN ROAD","9 FRANKLIN RD","","","","","","",""
"","7 MASSASOIT ROAD","7 MASSASOIT RD","","","","","","",""
"","20 WILSON STREET","20 WILSON ST","","","","","","",""
"","173 WINDING RIVER ROAD","173 WINDING RIVER RD","","","","","","",""
"","39-41 FIELDSTONE WAY","39-41 FIELDSTONE WAY","","","","","","",""
"","139 OVERBROOK DRIVE","139 OVERBROOK DR","","","","","","",""
"","8 DEERFIELD ROAD","8 DEERFIELD RD","","","","","","",""
"","31-33 FIELDSTONE WAY","31-33 FIELDSTONE WAY","","","","","","",""
"","39 SKYLINE DRIVE","39 SKYLINE DR","","","","","","",""
"","35 RICE STREET","35 RICE ST","","","","","","",""
"","6 WILSON STREET","6 WILSON ST","","","","","","",""
"","93 BROOK STREET","93 BROOK ST","","","","","","",""
"","206 WINDING RIVER ROAD","206 WINDING RIVER RD","","","","","","",""
"","35-37 FIELDSTONE WAY","35-37 FIELDSTONE WAY","","","","","","",""
"","26 LANTERN LANE","26 LANTERN LN","","","","","","",""
"","11 WOODLAND ROAD","11 WOODLAND RD","","","","","","",""
"","9 DURANT ROAD","9 DURANT RD","","","","","","",""
"","26 LATHROP ROAD","26 LATHROP RD","","","","","","",""
"","20 WOODCHESTER ROAD","20 WOODCHESTER RD","","","","","","",""
"","40 PARK AVENUE","40 PARK AVE","","","","","","",""
"","24 BELAIR ROAD","24 BELAIR RD","","","","","","",""
"","8 DEXTER ROAD","8 DEXTER RD","","","","","","",""
"","7 ASHMONT ROAD","7 ASHMONT RD","","","","","","",""
"","21 GREYLOCK ROAD","21 GREYLOCK RD","","","","","","",""
"","60 AUDUBON ROAD","60 AUDUBON RD","","","","","","",""
"","18 BAY STATE ROAD","18 BAY STATE RD","","","","","","",""
"","10-12 FIELDSTONE WAY","10-12 FIELDSTONE WAY","","","","","","",""
"","36 OAKRIDGE ROAD","36 OAKRIDGE RD","","","","","","",""
"","24 PRISCILLA ROAD","24 PRISCILLA RD","","","","","","",""
"","38-40 FIELDSTONE WAY","38-40 FIELDSTONE WAY","","","","","","",""
"","6 HASTINGS STREET","6 HASTINGS ST","","","","","","",""
"","11 KENILWORTH ROAD","11 KENILWORTH RD","","","","","","",""
