record_id,address_raw,address_norm,date_submitted,est_cost,demo_cost,record_status,type_of_work
"RES-25-1034","6 MOUNTVIEW ROAD, WELLESLEY, MA 02481","6 MOUNTVIEW RD WELLESLEY MA 02481","+252049-12","","","Active","New Construction"
"RES-25-1011","1 LAWRENCE ROAD, WELLESLEY, MA 02482","1 LAWRENCE RD WELLESLEY MA 02482","+251924-12","","","Active","New Construction"
"RES-25-908","23 WARELAND ROAD, WELLESLEY, MA 02481","23 WARELAND RD WELLESLEY MA 02481","+251616-11","","","Active","New Construction"
"RES-25-860","489A WORCESTER STREET, WELLESLEY, MA 02481","489A WORCESTER ST WELLESLEY MA 02481","+251540-10","","","Active","New Construction"
"RES-25-857","21 BEECHWOOD ROAD, WELLESLEY, MA 02482","21 BEECHWOOD RD WELLESLEY MA 02482","+252140-10","","","Active","New Construction"
"RES-25-852","67 OLD COLONY ROAD, WELLESLEY, MA 02481","67 OLD COLONY RD WELLESLEY MA 02481","+251400-10","","","Active","New Construction"
"RES-25-830","144 WASHINGTON STREET, WELLESLEY, MA 02481","144 WASHINGTON ST WELLESLEY MA 02481","+025926-10","","","Active","New Construction"
"RES-25-779","28 PARKER ROAD, WELLESLEY, MA 02482","28 PARKER RD WELLESLEY MA 02482","+251902-09","","","Active","New Construction"
"RES-25-778","18 ROCKLAND STREET, WELLESLEY, MA 02481","18 ROCKLAND ST WELLESLEY MA 02481","+251826-09","","","Active","New Construction"
"RES-25-742","78 SUFFOLK ROAD, WELLESLEY, MA 02481","78 SUFFOLK RD WELLESLEY MA 02481","+251725-09","","","Active","New Construction"
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","489 WORCESTER ST WELLESLEY MA 02481","+251754-08","","","Active","New Construction"
"RES-25-628","66 SUFFOLK ROAD, WELLESLEY, MA 02481","66 SUFFOLK RD WELLESLEY MA 02481","+251332-07","","","Active","New Construction"
"RES-25-619","19 PINE RIDGE ROAD, WELLESLEY, MA 02481","19 PINE RIDGE RD WELLESLEY MA 02481","+251701-07","","","Active","New Construction"
"RES-25-570","52 VALLEY ROAD, WELLESLEY, MA 02481","52 VALLEY RD WELLESLEY MA 02481","+251630-07","","","Active","New Construction"
"RES-25-538","40 RADCLIFFE ROAD, WELLESLEY, MA 02482","40 RADCLIFFE RD WELLESLEY MA 02482","+251502-06","","","Active","New Construction"
"RES-25-510","23 PILGRIM ROAD, WELLESLEY, MA 02481","23 PILGRIM RD WELLESLEY MA 02481","+251855-06","","","Active","New Construction"
"RES-25-483","46 ROYALSTON ROAD, WELLESLEY, MA 02481","46 ROYALSTON RD WELLESLEY MA 02481","+251328-06","","","Active","New Construction"
"RES-25-478","23 PRISCILLA CIRCLE, WELLESLEY, MA 02481","23 PRISCILLA CIR WELLESLEY MA 02481","+251051-06","","","Active","New Construction"
"RES-25-317","71 FAIRBANKS AVENUE, WELLESLEY, MA 02481","71 FAIRBANKS AVE WELLESLEY MA 02481","+251231-04","","","Complete","New Construction"
"RES-25-299","69 MONADNOCK ROAD, WELLESLEY, MA 02481","69 MONADNOCK RD WELLESLEY MA 02481","+025149-04","","","Active","New Construction"
"RES-25-298","62 DONIZETTI STREET, WELLESLEY, MA 02482","62 DONIZETTI ST WELLESLEY MA 02482","+025045-04","","","Active","New Construction"
"RES-25-132","345 LINDEN STREET, WELLESLEY, MA 02481","345 LINDEN ST WELLESLEY MA 02481","+251726-02","","","Active","New Construction"
"RES-25-120","201 LOWELL ROAD, WELLESLEY, MA 02481","201 LOWELL RD WELLESLEY MA 02481","+251644-02","","","Complete","New Construction"
"RES-24-978","38 PARKER ROAD, WELLESLEY, MA 02482","38 PARKER RD WELLESLEY MA 02482","+241522-12","","","Active","New Construction"
"RES-25-1038","15 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","15 LAFAYETTE CIR WELLESLEY MA 02482","+251915-12","","","Active","Demolition"
"RES-25-1007","39 MACARTHUR ROAD, WELLESLEY, MA 02482","39 MACARTHUR RD WELLESLEY MA 02482","+251819-12","","","Active","Demolition"
"RES-25-917","12 LOWELL ROAD, WELLESLEY, MA 02481","12 LOWELL RD WELLESLEY MA 02481","+251956-11","","","Active","Demolition"
"RES-25-426","51 SMITH STREET, WELLESLEY, MA 02482","51 SMITH ST WELLESLEY MA 02482","+251634-05","","","Active","Addition"
"RES-24-486","222 GROVE STREET, WELLESLEY, MA 02482","222 GROVE ST WELLESLEY MA 02482","+241701-06","","","Active","New Construction"
"RES-24-871","91 PROSPECT STREET, WELLESLEY, MA 02481","91 PROSPECT ST WELLESLEY MA 02481","+241814-12","","","Active","New Construction "
"RES-24-646","206 BRISTOL ROAD, WELLESLEY, MA 02481","206 BRISTOL RD WELLESLEY MA 02481","+241900-07","","","Active","New Construction "
"RES-24-935","38 WOODCLIFF ROAD, WELLESLEY, MA 02481","38 WOODCLIFF RD WELLESLEY MA 02481","+241856-11","","","Active","New Construction "
"RES-23-839","45 WHITE OAK ROAD, WELLESLEY, MA 02481","45 WHITE OAK RD WELLESLEY MA 02481","+231411-10","","","Active","New Construction "
"RES-23-988","53 PLEASANT STREET, WELLESLEY, MA 02482","53 PLEASANT ST WELLESLEY MA 02482","2023-12-28","","","Active","Addition"
"RES-23-955","19 NORTHGATE ROAD, WELLESLEY, MA 02481","19 NORTHGATE RD WELLESLEY MA 02481","2023-12-14","","","Active","New Construction "
"RES-24-849","12 BIRD HILL AVENUE, WELLESLEY, MA 02481","12 BIRD HILL AVE WELLESLEY MA 02481","2024-10-17","","","Active","New Construction "
"RES-24-925","8 OAKDALE AVENUE, WELLESLEY, MA 02482","8 OAKDALE AVE WELLESLEY MA 02482","2024-11-12","","","Active","New Construction "
"RES-23-896","310 OAKLAND STREET, WELLESLEY, MA 02481","310 OAKLAND ST WELLESLEY MA 02481","2023-11-21","","","Active","New Construction "
"RES-24-1040","16 OAK STREET, WELLESLEY, MA 02482","16 OAK ST WELLESLEY MA 02482","2024-12-27","","","Active","Alterations"
"RES-23-28","18 SPRAGUE ROAD, WELLESLEY, MA 02481","18 SPRAGUE RD WELLESLEY MA 02481","","","","Active","New Construction "
"RES-24-325","39 AUDUBON ROAD, WELLESLEY, MA 02481","39 AUDUBON RD WELLESLEY MA 02481","","","","Active","New Construction "
"RES-25-1027","449 WESTON ROAD, WELLESLEY, MA 02482","449 WESTON RD WELLESLEY MA 02482","","","","Active","Demolition"
"Not available yet.

Purchased by Kane in Nov 2025 - no permits available yet","10 Pinewood Cir, Wellesley, MA 02482","10 PINEWOOD CIR WELLESLEY MA 02482","","","","","Development"
"Not available yet.

Newly purchased in 2026 - no permits available yet","10 Alba Rd, Wellesley, MA 02481","10 ALBA RD WELLESLEY MA 02481","","","","","Development"
"Not available yet.

Newly purchased in June 2025 - no permits available yet","19 Orchard St, Wellesley, MA 02481","19 ORCHARD ST WELLESLEY MA 02481","","","","","Development"
"Not available yet.

Purchased by Copperleaf in Nov 2025","25 Sheridan Rd, Wellesley, MA 02481","25 SHERIDAN RD WELLESLEY MA 02481","","","","","Development"
"Not available yet.

Purchased by Crest City Capital in Dec 2025","8 Clovelly Rd, Wellesley, MA 02481","8 CLOVELLY RD WELLESLEY MA 02481","","","","","Development"
"Not available yet.

Purchased by Crest City Capital in Oct 2025","45 Windsor Rd, Wellesley, MA 02482","45 WINDSOR RD WELLESLEY MA 02482","","","","","Development"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"RES-25-1041","12 MELLON ROAD, WELLESLEY, MA 02482","12 MELLON RD WELLESLEY MA 02482","+252140-12","810000","","Active","New Construction"
"RES-25-1034","6 MOUNTVIEW ROAD, WELLESLEY, MA 02481","6 MOUNTVIEW RD WELLESLEY MA 02481","+252049-12","985000","","Active","New Construction"
"RES-25-1011","1 LAWRENCE ROAD, WELLESLEY, MA 02482","1 LAWRENCE RD WELLESLEY MA 02482","+251924-12","750000","","Active","New Construction"
