permit_record_id,permit_address,reason
"RES-25-1034","6 MOUNTVIEW ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-1011","1 LAWRENCE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-908","23 WARELAND ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-857","21 BEECHWOOD ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-852","67 OLD COLONY ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-830","144 WASHINGTON STREET, WELLESLEY, MA 02481","no_match"
"RES-25-779","28 PARKER ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-778","18 ROCKLAND STREET, WELLESLEY, MA 02481","no_match"
"RES-25-742","78 SUFFOLK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-628","66 SUFFOLK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-619","19 PINE RIDGE ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-570","52 VALLEY ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-538","40 RADCLIFFE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-510","23 PILGRIM ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-483","46 ROYALSTON ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-478","23 PRISCILLA CIRCLE, WELLESLEY, MA 02481","no_match"
"RES-25-317","71 FAIRBANKS AVENUE, WELLESLEY, MA 02481","no_match"
"RES-25-299","69 MONADNOCK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-298","62 DONIZETTI STREET, WELLESLEY, MA 02482","no_match"
"RES-25-132","345 LINDEN STREET, WELLESLEY, MA 02481","no_match"
"RES-25-120","201 LOWELL ROAD, WELLESLEY, MA 02481","no_match"
"RES-24-978","38 PARKER ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-1038","15 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","no_match"
"RES-25-1007","39 MACARTHUR ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-917","12 LOWELL ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-426","51 SMITH STREET, WELLESLEY, MA 02482","no_match"
"RES-24-486","222 GROVE STREET, WELLESLEY, MA 02482","no_match"
"RES-24-871","91 PROSPECT STREET, WELLESLEY, MA 02481","no_match"
"RES-24-646","206 BRISTOL ROAD, WELLESLEY, MA 02481","no_match"
"RES-24-935","38 WOODCLIFF ROAD, WELLESLEY, MA 02481","no_match"
"RES-23-839","45 WHITE OAK ROAD, WELLESLEY, MA 02481","no_match"
"RES-23-988","53 PLEASANT STREET, WELLESLEY, MA 02482","no_match"
"RES-23-955","19 NORTHGATE ROAD, WELLESLEY, MA 02481","no_match"
"RES-24-849","12 BIRD HILL AVENUE, WELLESLEY, MA 02481","no_match"
"RES-24-925","8 OAKDALE AVENUE, WELLESLEY, MA 02482","no_match"
"RES-23-896","310 OAKLAND STREET, WELLESLEY, MA 02481","no_match"
"RES-24-1040","16 OAK STREET, WELLESLEY, MA 02482","no_match"
"RES-23-28","18 SPRAGUE ROAD, WELLESLEY, MA 02481","no_match"
"RES-24-325","39 AUDUBON ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-1027","449 WESTON ROAD, WELLESLEY, MA 02482","no_match"
"Not available yet.

Purchased by Kane in Nov 2025 - no permits available yet","10 Pinewood Cir, Wellesley, MA 02482","no_match"
"Not available yet.

Newly purchased in 2026 - no permits available yet","10 Alba Rd, Wellesley, MA 02481","no_match"
"Not available yet.

Newly purchased in June 2025 - no permits available yet","19 Orchard St, Wellesley, MA 02481","no_match"
"Not available yet.

Purchased by Copperleaf in Nov 2025","25 Sheridan Rd, Wellesley, MA 02481","no_match"
"Not available yet.

Purchased by Crest City Capital in Dec 2025","8 Clovelly Rd, Wellesley, MA 02481","no_match"
"Not available yet.

Purchased by Crest City Capital in Oct 2025","45 Windsor Rd, Wellesley, MA 02482","no_match"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"","","no_address"
"RES-25-1041","12 MELLON ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-1034","6 MOUNTVIEW ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-1011","1 LAWRENCE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-944","24 EDGEMOOR AVENUE, WELLESLEY, MA 02482","no_match"
"RES-25-934","46 MADISON ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-921","5 POND TERRACE, WELLESLEY, MA 02482","no_match"
"RES-25-908","23 WARELAND ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-895","44 SOUTH LINCOLN STREET, WELLESLEY, MA 02482","no_match"
"RES-25-871","9 HILL TOP ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-857","21 BEECHWOOD ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-852","67 OLD COLONY ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-830","144 WASHINGTON STREET, WELLESLEY, MA 02481","no_match"
"RES-25-779","28 PARKER ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-778","18 ROCKLAND STREET, WELLESLEY, MA 02481","no_match"
"RES-25-742","78 SUFFOLK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-736","17 SUFFOLK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-729","46 UPSON ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-693","75 MAUGUS AVENUE, WELLESLEY, MA 02481","no_match"
"RES-25-628","66 SUFFOLK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-619","19 PINE RIDGE ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-570","52 VALLEY ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-538","40 RADCLIFFE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-510","23 PILGRIM ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-483","46 ROYALSTON ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-478","23 PRISCILLA CIRCLE, WELLESLEY, MA 02481","no_match"
"RES-25-472","43 WOODRIDGE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-420","42 SUMMIT ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-317","71 FAIRBANKS AVENUE, WELLESLEY, MA 02481","no_match"
"RES-25-299","69 MONADNOCK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-298","62 DONIZETTI STREET, WELLESLEY, MA 02482","no_match"
"RES-25-132","345 LINDEN STREET, WELLESLEY, MA 02481","no_match"
"RES-25-128","2 DALE STREET, WELLESLEY, MA 02482","no_match"
"RES-25-120","201 LOWELL ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-103","171 WASHINGTON STREET, WELLESLEY, MA 02481","no_match"
"RES-25-76","26 PEMBROKE ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-27","16-18 BROOK STREET, WELLESLEY, MA 02482","no_match"
"RES-24-978","38 PARKER ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-77","12 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","no_match"
"RES-25-1038","15 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","no_match"
"RES-25-1007","39 MACARTHUR ROAD, WELLESLEY, MA 02482","no_match"
"RES-25-917","12 LOWELL ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-426","51 SMITH STREET, WELLESLEY, MA 02482","no_match"
"RES-24-486","222 GROVE STREET, WELLESLEY, MA 02482","no_match"
"RES-24-871","91 PROSPECT STREET, WELLESLEY, MA 02481","no_match"
"RES-24-646","206 BRISTOL ROAD, WELLESLEY, MA 02481","no_match"
"RES-24-935","38 WOODCLIFF ROAD, WELLESLEY, MA 02481","no_match"
"RES-23-839","45 WHITE OAK ROAD, WELLESLEY, MA 02481","no_match"
"RES-25-1041","Development 12 MELLON","no_match"
"RES-25-1034","Development 6 MOUNTVIEW","no_match"
"RES-25-1011","Development 1 LAWRENCE","no_match"
"RES-25-944","unsure 24 EDGEMOOR","no_match"
"RES-25-934","Development 46 MADISON","no_match"
"RES-25-921","Residential upgrade 5 POND","no_match"
"RES-25-908","Development 23 WARELAND","no_match"
"RES-25-895","unsure 44 SOUTH","no_match"
"RES-25-871","unsure 9 HILL","no_match"
"RES-25-860","Development 489A WORCESTER","no_match"
"RES-25-857","Development 21 BEECHWOOD","no_match"
"RES-25-852","Development 67 OLD","no_match"
"RES-25-830","Development 144 WASHINGTON","no_match"
"RES-25-779","Development 28 PARKER","no_match"
"RES-25-778","Development 18 ROCKLAND","no_match"
"RES-25-742","Development 78 SUFFOLK","no_match"
"RES-25-736","unsure 17 SUFFOLK","no_match"
"RES-25-729","unsure 46 UPSON","no_match"
"RES-25-693","unsure 75 MAUGUS","no_match"
"RES-25-667","Development 489 WORCESTER","no_match"
"RES-25-628","Development 66 SUFFOLK","no_match"
"RES-25-619","Development 19 PINE","no_match"
"RES-25-570","Development 52 VALLEY","no_match"
"RES-25-538","Development 40 RADCLIFFE","no_match"
"RES-25-510","Development 23 PILGRIM","no_match"
"RES-25-483","Development 46 ROYALSTON","no_match"
"RES-25-478","Development 23 PRISCILLA","no_match"
"RES-25-472","Development 43 WOODRIDGE","no_match"
"RES-25-420","unsure 42 SUMMIT","no_match"
"RES-25-317","Development 71 FAIRBANKS","no_match"
"RES-25-299","Development 69 MONADNOCK","no_match"
"RES-25-298","Development 62 DONIZETTI","no_match"
"RES-25-132","Development 345 LINDEN","no_match"
"RES-25-128","unsure 2 DALE","no_match"
"RES-25-120","Development 201 LOWELL","no_match"
"RES-25-103","unsure 171 WASHINGTON","no_match"
"RES-25-76","Development 26 PEMBROKE","no_match"
"RES-25-27","unsure 16-18 BROOK","no_match"
"RES-24-978","Development 38 PARKER","no_match"
"RES-25-77","unsure 12 LAFAYETTE","no_match"
"RES-25-1038","Development 15 LAFAYETTE","no_match"
"RES-25-1007","Development 39 MACARTHUR","no_match"
"RES-25-917","Development 12 LOWELL","no_match"
"RES-25-426","Development 51 SMITH","no_match"
"RES-24-486","Development 222 GROVE","no_match"
"RES-24-871","Development 91 PROSPECT","no_match"
"RES-24-646","Development 206 BRISTOL","no_match"
"RES-24-935","Development 38 WOODCLIFF","no_match"
"","Below is all from S&N List","no_match"
"","22 Edgemoor,","no_match"
"","45 Mayo,","no_match"
"","21 Beechwood,","no_match"
"","15 Woodland,","no_match"
"","39 Macarthur,","no_match"
"","23 Macarthur,","no_match"
"","8 Macarthur,","no_match"
"","1 Lawrence,","no_match"
"","10 Pinewood","no_match"
"","63 Donizetti,","no_match"
"","10 Alba","no_match"
"","51 Smith,","no_match"
"","18 Rockland,","no_match"
"","202 Cedar,","no_match"
"","19 Pine","no_match"
"","19 Orchard,","no_match"
"","144 Washington","no_match"
"","71 Fairbanks,","no_match"
"","25 Sheridan,","no_match"
"","46 Royalston,","no_match"
"","78 Suffolk,","no_match"
"","69 Monadnock","no_match"
"","66 Suffolk,","no_match"
"","67 Old","no_match"
"","12 Lowell,","no_match"
"","70 Radcliffe,","no_match"
"","45 Windsor,","no_match"
